id,block,trialno_full,trialno_block,stim,choice,correct,response_time,feedback,money,run
subj_1,4,214,34,5,1,1,842.59999999986,-1,80,1
subj_1,4,215,35,3,2,0,1119.19999999995,11,100,1
subj_1,4,216,36,4,1,0,1107.19999999995,-11,80,1
subj_1,4,217,37,4,2,1,1455.80000000005,1,80,1
subj_1,4,218,38,5,1,1,1140.39999999991,11,100,1
subj_1,4,219,39,2,1,1,1421.69999999995,-11,80,1
subj_1,4,220,40,2,2,0,1491.59999999986,-11,60,1
subj_1,4,221,41,2,1,1,1080.89999999991,1,60,1
subj_1,4,222,42,4,1,0,1382.19999999995,1,60,1
subj_1,4,223,43,3,2,0,1815.5,-1,60,1
subj_1,4,224,44,2,1,1,1585.39999999991,1,60,1
subj_1,4,225,45,3,2,0,1234.69999999995,-1,60,1
subj_1,4,226,46,3,1,1,1266,-1,60,1
subj_1,4,227,47,4,1,0,1089.89999999991,1,60,1
subj_1,4,228,48,4,1,0,833.199999999953,-11,40,1
subj_1,4,229,49,2,2,0,1680.5,-11,20,1
subj_1,4,230,50,6,1,0,699.800000000047,-11,0,1
subj_1,4,231,51,1,2,1,898.399999999907,11,20,1
subj_1,4,232,52,5,2,0,969,11,40,1
subj_1,4,233,53,3,2,0,1347,-1,40,1
subj_1,4,234,54,5,1,1,1091.59999999986,-1,40,1
subj_1,4,235,55,2,2,0,1510.89999999991,-11,20,1
subj_1,4,236,56,3,1,1,924.800000000047,11,40,1
subj_1,4,237,57,5,1,1,1014.80000000005,-1,40,1
subj_1,4,238,58,4,1,0,1112.69999999995,1,40,1
subj_1,4,239,59,2,2,0,834.699999999953,-11,20,1
subj_1,4,240,60,2,2,0,1744,-11,0,1
subj_1,5,1,1,3,2,0,2136.7,-1,0,2
subj_1,5,2,2,6,1,0,1228,-11,-20,2
subj_1,5,3,3,4,2,1,1289.3,-11,-40,2
subj_1,5,4,4,5,2,0,1208.60000000001,-1,-40,2
subj_1,5,5,5,5,2,0,1023.2,-1,-40,2
subj_1,5,6,6,3,2,0,815.100000000006,-1,-40,2
subj_1,5,7,7,3,1,1,1237.10000000001,11,-20,2
subj_1,5,8,8,3,1,1,798.400000000009,11,0,2
subj_1,5,9,9,5,2,0,1662.90000000001,11,20,2
subj_1,5,10,10,3,1,1,810.899999999994,-1,20,2
subj_1,5,11,11,6,2,1,1106.89999999999,1,20,2
subj_1,5,12,12,2,2,0,1381.5,1,20,2
subj_1,5,13,13,5,2,0,1064.79999999999,11,40,2
subj_1,5,14,14,2,2,0,1278.69999999998,-11,20,2
subj_1,5,15,15,1,1,0,844,-1,20,2
subj_1,5,16,16,6,2,1,1452.59999999998,-11,0,2
subj_1,5,17,17,1,1,0,779.299999999988,-1,0,2
subj_1,5,18,18,5,2,0,884.5,-1,0,2
subj_1,5,19,19,1,2,1,1481.79999999999,11,20,2
subj_1,5,20,20,1,2,1,1005.09999999998,11,40,2
subj_1,5,21,21,4,1,0,807.699999999983,-11,20,2
subj_1,5,22,22,5,2,0,1312.39999999999,11,40,2
subj_1,5,23,23,4,1,0,1002.29999999999,-11,20,2
subj_1,5,24,24,5,2,0,1144.89999999999,11,40,2
subj_1,5,25,25,1,2,1,861.599999999977,11,60,2
subj_1,5,26,26,3,1,1,949.5,11,80,2
subj_1,5,27,27,2,2,0,1074.09999999998,-11,60,2
subj_1,5,28,28,2,1,1,1094.09999999998,1,60,2
subj_1,5,29,29,2,1,1,984.699999999983,1,60,2
